,gene_name,start,end_coord,strand,gene_product,COG_id,cog,uniprot,operon,tu_name,ncbi_protein,gene_name_extra,specific_gos_n,specific_gos
EQU24_RS05370,bluB,1140412,1141075,-1,"5,6-dimethylbenzimidazole synthase",C,Energy production and conversion,A0A4P9UNF9,2160,EQU24_RS05385 // cobD // EQU24_RS05375 // bluB // cobT,WP_017840477.1,bluB||bluB,"5,6-dimethylbenzimidazole synthase activity
cob(II)yrinic acid a,c-diamide reductase activity
","['5,6-dimethylbenzimidazole synthase activity'
 'cob(II)yrinic acid a,c-diamide reductase activity' '']"
EQU24_RS05375,,1141067,1141997,-1,homoserine kinase,F,Nucleotide transport and metabolism,A0A4P9UKH9,2160,EQU24_RS05385 // cobD // EQU24_RS05375 // bluB // cobT,WP_017840476.1,||None,"threonine biosynthetic process
ATP binding
homoserine kinase activity
phosphorylation","['threonine biosynthetic process' 'ATP binding'
 'homoserine kinase activity' 'phosphorylation']"
EQU24_RS05380,cobD,1142004,1142898,-1,cobalamin biosynthesis protein CobD,H,Coenzyme transport and metabolism,A0A4P9UMR7,2160,EQU24_RS05385 // cobD // EQU24_RS05375 // bluB // cobT,WP_017840475.1,cobD||cbiB,"cobalamin biosynthetic process
threonine-phosphate decarboxylase activity
cobalamin transport
ABC-type vitamin B12 transporter activity
plasma membrane","['cobalamin biosynthetic process'
 'threonine-phosphate decarboxylase activity' 'cobalamin transport'
 'ABC-type vitamin B12 transporter activity' 'plasma membrane']"
EQU24_RS05385,,1142890,1143910,-1,aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme,E,Amino acid transport and metabolism,A0A4P9UKL3,2160,EQU24_RS05385 // cobD // EQU24_RS05375 // bluB // cobT,WP_017840474.1,||None,"threonine-phosphate decarboxylase activity
transaminase activity
pyridoxal phosphate binding
biosynthetic process","['threonine-phosphate decarboxylase activity' 'transaminase activity'
 'pyridoxal phosphate binding' 'biosynthetic process']"
EQU24_RS05390,,1144963,1145176,-1,hypothetical protein,X,No COG annotation,,2159,EQU24_RS05390,,||,"integral component of membrane
membrane",['integral component of membrane' 'membrane']
EQU24_RS05395,,1145434,1147348,-1,hypothetical protein,S,Function unknown,A0A4V1IJK7,2158,EQU24_RS05395,WP_017840472.1,||None,hydrolase activity,['hydrolase activity']
EQU24_RS05400,,1147640,1157960,-1,filamentous hemagglutinin N-terminal domain-containing protein,U,"Intracellular trafficking, secretion, and vesicular transport",UPI0004774AE4,2157,EQU24_RS05405 // EQU24_RS05400,WP_026130130.1,||None,integral component of membrane,['integral component of membrane']
EQU24_RS05405,,1157965,1159555,-1,ShlB/FhaC/HecB family hemolysin secretion/activation protein,U,"Intracellular trafficking, secretion, and vesicular transport",A0A4P9UKY5,2157,EQU24_RS05405 // EQU24_RS05400,WP_017840470.1,||None,,[]
EQU24_RS05410,,1159679,1161185,-1,hypothetical protein,X,No COG annotation,A0A4P9UKS0,2156,EQU24_RS05410,WP_017840469.1,||None,,[]
EQU24_RS05415,,1161664,1163473,1,DUF2341 domain-containing protein,U,"Intracellular trafficking, secretion, and vesicular transport",A0A4P9UKJ1,2155,EQU24_RS05415,WP_017840468.1,||None,"protein transport
integral component of membrane",['protein transport' 'integral component of membrane']
EQU24_RS05420,,1163549,1163954,1,biopolymer transporter ExbD,U,"Intracellular trafficking, secretion, and vesicular transport",A0A4P9UMI9,2154,EQU24_RS05430 // EQU24_RS05425 // EQU24_RS05420,WP_014149416.1,||None,"protein transport
plasma membrane
integral component of membrane
transmembrane transport
transmembrane transporter activity","['protein transport' 'plasma membrane' 'integral component of membrane'
 'transmembrane transport' 'transmembrane transporter activity']"
EQU24_RS05425,,1163961,1164615,1,energy transducer TonB,M,Cell wall/membrane/envelope biogenesis,A0A4P9UNG7,2154,EQU24_RS05430 // EQU24_RS05425 // EQU24_RS05420,WP_017840467.1,||None,integral component of membrane,['integral component of membrane']
EQU24_RS05430,,1164636,1166388,1,hypothetical protein,P,Inorganic ion transport and metabolism,A0A4P9UKI8,2154,EQU24_RS05430 // EQU24_RS05425 // EQU24_RS05420,WP_017840466.1,||None,,[]
EQU24_RS05435,,1166485,1167229,1,hypothetical protein,D,"Cell cycle control, cell division, chromosome partitioning",UPI00034BF01B,2153,EQU24_RS05435,WP_138767089.1,||None,,[]
EQU24_RS05440,,1167954,1170417,1,tetratricopeptide repeat protein,S,Function unknown,UPI00035C80C7,2152,EQU24_RS05440,WP_017840464.1,||None,protein binding,['protein binding']
EQU24_RS05445,,1170653,1171328,-1,redoxin domain-containing protein,C,Energy production and conversion,UPI00058D8871,2151,EQU24_RS05445,WP_040575600.1,||None,"cellular oxidant detoxification
cell redox homeostasis
oxidoreductase activity
isomerase activity
antioxidant activity","['cellular oxidant detoxification' 'cell redox homeostasis'
 'oxidoreductase activity' 'isomerase activity' 'antioxidant activity']"
EQU24_RS05450,,1171756,1173094,1,MFS transporter,S,Function unknown,A0A4V1IJK8,2150,EQU24_RS05450,WP_017840462.1,||None,"integral component of membrane
transmembrane transporter activity
transmembrane transport","['integral component of membrane' 'transmembrane transporter activity'
 'transmembrane transport']"
EQU24_RS05455,,1173035,1173320,-1,hypothetical protein,X,No COG annotation,,2149,EQU24_RS05455,,||,integral component of membrane,['integral component of membrane']
EQU24_RS05460,,1173451,1173997,-1,hypothetical protein,M,Cell wall/membrane/envelope biogenesis,UPI000475C0B0,2148,EQU24_RS05460,WP_026130129.1,||None,"outer membrane
identical protein binding
protein binding
membrane
binding","['outer membrane' 'identical protein binding' 'protein binding' 'membrane'
 'binding']"
EQU24_RS05465,,1174368,1174710,1,outer membrane protein assembly factor BamE,J,"Translation, ribosomal structure and biogenesis",A0A4P9UKS8,2147,EQU24_RS05465,WP_017840460.1,||None,"outer membrane
integral component of membrane",['outer membrane' 'integral component of membrane']
EQU24_RS05470,,1174905,1175832,1,5'-nucleotidase,S,Function unknown,A0A4P9UKJ8,2146,EQU24_RS05470,WP_017840459.1,||None,"5'-nucleotidase activity
dephosphorylation
magnesium ion binding
nucleotide metabolic process
nucleotide binding","[""5'-nucleotidase activity"" 'dephosphorylation' 'magnesium ion binding'
 'nucleotide metabolic process' 'nucleotide binding']"
EQU24_RS05475,,1175803,1177321,-1,hypothetical protein,X,No COG annotation,UPI000348002E,2145,EQU24_RS05475,WP_138767091.1,||None,,[]
EQU24_RS05480,epmB,1177785,1178808,-1,EF-P beta-lysylation protein EpmB,C,Energy production and conversion,A0A4P9UNH4,2144,epmB,WP_017840456.1,epmB||epmB,"4 iron, 4 sulfur cluster binding
metal ion binding
intramolecular transferase activity, transferring amino groups
iron-sulfur cluster binding
intramolecular transferase activity","['4 iron, 4 sulfur cluster binding' 'metal ion binding'
 'intramolecular transferase activity, transferring amino groups'
 'iron-sulfur cluster binding' 'intramolecular transferase activity']"
EQU24_RS05485,efp,1178910,1179480,1,elongation factor P,J,"Translation, ribosomal structure and biogenesis",A0A4P9UKJ7,2143,genX // efp,WP_026130128.1,efp||efp,"negative regulation of translational frameshifting
regulation of translational frameshifting
negative regulation of translational elongation
negative regulation of translation
regulation of translational elongation","['negative regulation of translational frameshifting'
 'regulation of translational frameshifting'
 'negative regulation of translational elongation'
 'negative regulation of translation'
 'regulation of translational elongation']"
EQU24_RS05490,genX,1179476,1180463,1,EF-P lysine aminoacylase GenX,J,"Translation, ribosomal structure and biogenesis",,2143,genX // efp,WP_235726458.1,genX||epmA,"bacterial-type EF-P lysine modification
protein-lysine lysylation
protein-N6-(L-lysyl)-L-lysine modification to protein-N6-(beta-lysyl)-L-lysine
tRNA metabolic process
lysyl-tRNA aminoacylation","['bacterial-type EF-P lysine modification' 'protein-lysine lysylation'
 'protein-N6-(L-lysyl)-L-lysine modification to protein-N6-(beta-lysyl)-L-lysine'
 'tRNA metabolic process' 'lysyl-tRNA aminoacylation']"
EQU24_RS05495,,1180854,1181334,-1,hypothetical protein,X,No COG annotation,UPI00110D2125,2142,EQU24_RS05495,WP_138767093.1,||None,,[]
EQU24_RS05500,rapA,1181465,1184270,-1,RNA polymerase-associated protein RapA,K,Transcription,A0A4V1IJK9,2141,rapA,WP_017840451.1,rapA||rapA,"positive regulation of nucleic acid-templated transcription
regulation of nucleic acid-templated transcription
ATP hydrolysis activity
transcription, DNA-templated
positive regulation of transcription, DNA-templated","['positive regulation of nucleic acid-templated transcription'
 'regulation of nucleic acid-templated transcription'
 'ATP hydrolysis activity' 'transcription, DNA-templated'
 'positive regulation of transcription, DNA-templated']"
EQU24_RS05505,,1184533,1186276,-1,sulfite reductase subunit alpha,C,Energy production and conversion,,2140,EQU24_RS05505,WP_235726399.1,||None,"cysteine biosynthetic process
sulfite reductase (NADPH) activity
flavin adenine dinucleotide binding
FMN binding
","['cysteine biosynthetic process' 'sulfite reductase (NADPH) activity'
 'flavin adenine dinucleotide binding' 'FMN binding' '']"
EQU24_RS05510,,1186365,1191849,-1,hypothetical protein,E,Amino acid transport and metabolism,A0A4P9UQA4,2139,EQU24_RS05510,WP_017840449.1,||None,"glutamate biosynthetic process
glutamate synthase (NADPH) activity
",['glutamate biosynthetic process' 'glutamate synthase (NADPH) activity' '']
EQU24_RS05515,ubiF,1192315,1193533,1,"2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase",C,Energy production and conversion,A0A4P9UL01,2138,ubiF,WP_026130127.1,ubiF||None,"ubiquinone biosynthetic process
FAD binding
quinone biosynthetic process
ubiquinone metabolic process
quinone metabolic process","['ubiquinone biosynthetic process' 'FAD binding'
 'quinone biosynthetic process' 'ubiquinone metabolic process'
 'quinone metabolic process']"
EQU24_RS05520,,1193606,1195352,-1,multicopper oxidase,Q,"Secondary metabolites biosynthesis, transport, and catabolism",A0A4P9UKT4,2137,EQU24_RS05520,WP_026130126.1,||None,"copper ion binding
integral component of membrane",['copper ion binding' 'integral component of membrane']
EQU24_RS05525,,1195875,1196274,1,pilus biosynthesis protein PilZ,X,No COG annotation,A0A4P9UKK3,2136,EQU24_RS05525,WP_017840446.1,||None,cyclic-di-GMP binding,['cyclic-di-GMP binding']
EQU24_RS05530,glnD,1196546,1199183,-1,[protein-PII] uridylyltransferase,O,"Post-translational modification, protein turnover, and chaperones",A0A4P9UMK7,2135,map // glnD,WP_017840445.1,glnD||glnD,"positive regulation of nucleic acid-templated transcription
glutamine biosynthetic process
positive regulation of transcription, DNA-templated
positive regulation of RNA biosynthetic process
regulation of nucleic acid-templated transcription","['positive regulation of nucleic acid-templated transcription'
 'glutamine biosynthetic process'
 'positive regulation of transcription, DNA-templated'
 'positive regulation of RNA biosynthetic process'
 'regulation of nucleic acid-templated transcription']"
EQU24_RS05535,map,1199179,1199944,-1,type I methionyl aminopeptidase,J,"Translation, ribosomal structure and biogenesis",A0A4P9UNI3,2135,map // glnD,WP_017840444.1,map||map,"ferrous iron binding
iron ion binding
metalloaminopeptidase activity
protein initiator methionine removal
metalloexopeptidase activity","['ferrous iron binding' 'iron ion binding'
 'metalloaminopeptidase activity' 'protein initiator methionine removal'
 'metalloexopeptidase activity']"
EQU24_RS05540,rpsB,1200273,1201026,1,30S ribosomal protein S2,J,"Translation, ribosomal structure and biogenesis",A0A4P9UKK7,2134,rpsB,WP_017840443.1,rpsB||rpsB,"ribosome assembly
ribosomal small subunit assembly
ribonucleoprotein complex assembly
cytosolic ribosome
zinc ion binding","['ribosome assembly' 'ribosomal small subunit assembly'
 'ribonucleoprotein complex assembly' 'cytosolic ribosome'
 'zinc ion binding']"
EQU24_RS05545,,1201141,1202023,1,elongation factor Ts,J,"Translation, ribosomal structure and biogenesis",A0A4P9UMU4,2133,EQU24_RS05545,WP_026130125.1,||tsf,"zinc ion binding
translation
translational elongation
guanyl-nucleotide exchange factor activity
transition metal ion binding","['zinc ion binding' 'translation' 'translational elongation'
 'guanyl-nucleotide exchange factor activity'
 'transition metal ion binding']"
EQU24_RS05550,,1202226,1202955,1,UMP kinase,F,Nucleotide transport and metabolism,A0A4P9UKN9,2132,EQU24_RS05580 // rseP // EQU24_RS05570 // EQU24_RS05565 // EQU24_RS05560 // EQU24_RS05555 // EQU24_RS05550,WP_017840441.1,||pyrH,"'de novo' CTP biosynthetic process
UMP kinase activity
nucleotide biosynthetic process
uridylate kinase activity
nucleoside monophosphate phosphorylation","[""'de novo' CTP biosynthetic process"" 'UMP kinase activity'
 'nucleotide biosynthetic process' 'uridylate kinase activity'
 'nucleoside monophosphate phosphorylation']"
EQU24_RS05555,,1202951,1203509,1,ribosome recycling factor,J,"Translation, ribosomal structure and biogenesis",A0A4V1IJL0,2132,EQU24_RS05580 // rseP // EQU24_RS05570 // EQU24_RS05565 // EQU24_RS05560 // EQU24_RS05555 // EQU24_RS05550,WP_017840440.1,||frr,"cytoplasmic translational termination
translational termination
cytoplasmic translation
peptide biosynthetic process
translation","['cytoplasmic translational termination' 'translational termination'
 'cytoplasmic translation' 'peptide biosynthetic process' 'translation']"
EQU24_RS05560,,1203521,1204286,1,isoprenyl transferase,H,Coenzyme transport and metabolism,A0A4P9UQB6,2132,EQU24_RS05580 // rseP // EQU24_RS05570 // EQU24_RS05565 // EQU24_RS05560 // EQU24_RS05555 // EQU24_RS05550,WP_017840439.1,||None,"glycosaminoglycan biosynthetic process
peptidoglycan metabolic process
peptidoglycan biosynthetic process
cell wall macromolecule biosynthetic process
magnesium ion binding","['glycosaminoglycan biosynthetic process'
 'peptidoglycan metabolic process' 'peptidoglycan biosynthetic process'
 'cell wall macromolecule biosynthetic process' 'magnesium ion binding']"
EQU24_RS05565,,1204313,1205183,1,phosphatidate cytidylyltransferase,S,Function unknown,A0A4P9UL10,2132,EQU24_RS05580 // rseP // EQU24_RS05570 // EQU24_RS05565 // EQU24_RS05560 // EQU24_RS05555 // EQU24_RS05550,WP_017840438.1,||None,"nucleotide biosynthetic process
phosphatidate cytidylyltransferase activity
phosphatidylglycerol metabolic process
pyrimidine nucleotide biosynthetic process
CDP-diacylglycerol biosynthetic process","['nucleotide biosynthetic process'
 'phosphatidate cytidylyltransferase activity'
 'phosphatidylglycerol metabolic process'
 'pyrimidine nucleotide biosynthetic process'
 'CDP-diacylglycerol biosynthetic process']"
EQU24_RS05570,,1205182,1206367,1,1-deoxy-D-xylulose-5-phosphate reductoisomerase,I,Lipid transport and metabolism,A0A4P9UKU2,2132,EQU24_RS05580 // rseP // EQU24_RS05570 // EQU24_RS05565 // EQU24_RS05560 // EQU24_RS05555 // EQU24_RS05550,WP_017840437.1,||ispC,"pyruvate metabolic process
cobalt ion binding
terpenoid biosynthetic process, mevalonate-independent
isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway involved in terpenoid biosynthetic process
monocarboxylic acid metabolic process","['pyruvate metabolic process' 'cobalt ion binding'
 'terpenoid biosynthetic process, mevalonate-independent'
 'isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway involved in terpenoid biosynthetic process'
 'monocarboxylic acid metabolic process']"
EQU24_RS05575,rseP,1206375,1207728,1,RIP metalloprotease RseP,M,Cell wall/membrane/envelope biogenesis,A0A4P9UKL2,2132,EQU24_RS05580 // rseP // EQU24_RS05570 // EQU24_RS05565 // EQU24_RS05560 // EQU24_RS05555 // EQU24_RS05550,WP_017840436.1,rseP||rseP,"positive regulation of nucleic acid-templated transcription
positive regulation of RNA biosynthetic process
positive regulation of transcription, DNA-templated
regulation of nucleic acid-templated transcription
positive regulation of cellular biosynthetic process","['positive regulation of nucleic acid-templated transcription'
 'positive regulation of RNA biosynthetic process'
 'positive regulation of transcription, DNA-templated'
 'regulation of nucleic acid-templated transcription'
 'positive regulation of cellular biosynthetic process']"
EQU24_RS05580,,1207758,1207941,1,hypothetical protein,X,No COG annotation,,2132,EQU24_RS05580 // rseP // EQU24_RS05570 // EQU24_RS05565 // EQU24_RS05560 // EQU24_RS05555 // EQU24_RS05550,,||,integral component of membrane,['integral component of membrane']
EQU24_RS05585,,1208182,1208902,1,DsbC family protein,M,Cell wall/membrane/envelope biogenesis,A0A4P9UNJ4,2131,EQU24_RS05585,WP_017840435.1,||None,"disulfide oxidoreductase activity
intramolecular oxidoreductase activity, transposing S-S bonds
intramolecular oxidoreductase activity
cell envelope
protein-disulfide reductase activity","['disulfide oxidoreductase activity'
 'intramolecular oxidoreductase activity, transposing S-S bonds'
 'intramolecular oxidoreductase activity' 'cell envelope'
 'protein-disulfide reductase activity']"
EQU24_RS05595,,1209580,1211206,1,bilirubin oxidase,Q,"Secondary metabolites biosynthesis, transport, and catabolism",A0A4P9UTB3,2129,EQU24_RS05595,WP_017840434.1,||None,"copper ion binding
integral component of membrane
oxidoreductase activity
","['copper ion binding' 'integral component of membrane'
 'oxidoreductase activity' '']"
EQU24_RS05600,mutS,1211804,1214333,-1,DNA mismatch repair protein MutS,L,"Replication, recombination and repair",,2128,mutS,WP_017840433.1,mutS||mutS,"ATP hydrolysis activity
ATP hydrolysis activity
adenine/cytosine mispair binding
mismatch repair
regulation of DNA recombination","['ATP hydrolysis activity' 'ATP hydrolysis activity'
 'adenine/cytosine mispair binding' 'mismatch repair'
 'regulation of DNA recombination']"
EQU24_RS05605,,1214771,1215272,1,CinA family protein,S,Function unknown,,2127,EQU24_RS05610 // EQU24_RS05605,WP_138767094.1,||None,"nicotinamide-nucleotide amidase activity
DNA binding
nucleic acid metabolic process
DNA metabolic process
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides","['nicotinamide-nucleotide amidase activity' 'DNA binding'
 'nucleic acid metabolic process' 'DNA metabolic process'
 'hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides']"
EQU24_RS05610,,1215287,1216298,1,Gfo/Idh/MocA family oxidoreductase,S,Function unknown,A0A4P9UMV3,2127,EQU24_RS05610 // EQU24_RS05605,WP_017840431.1,||None,"trans-1,2-dihydrobenzene-1,2-diol dehydrogenase activity
periplasmic space
cellular_component

","['trans-1,2-dihydrobenzene-1,2-diol dehydrogenase activity'
 'periplasmic space' 'cellular_component' '' '']"
EQU24_RS05615,,1216298,1217318,-1,nitrate ABC transporter substrate-binding protein,P,Inorganic ion transport and metabolism,UPI000475EE36,2126,EQU24_RS05615,WP_026130124.1,||None,,[]
EQU24_RS05620,,1217507,1218497,-1,ABC transporter ATP-binding protein,P,Inorganic ion transport and metabolism,A0A4V1IJL1,2125,EQU24_RS05620,WP_017840429.1,||None,"ATP hydrolysis activity
ATP binding",['ATP hydrolysis activity' 'ATP binding']
EQU24_RS05625,,1218804,1219278,1,sel1 repeat family protein,S,Function unknown,UPI000349D14C,2124,gltX // EQU24_RS05625,WP_138767096.1,||None,protein binding,['protein binding']
EQU24_RS05630,gltX,1219281,1220685,1,glutamate--tRNA ligase,J,"Translation, ribosomal structure and biogenesis",A0A4P9UL19,2124,gltX // EQU24_RS05625,WP_017840427.1,gltX||gltX,"glutamyl-tRNA aminoacylation
tRNA metabolic process
tRNA aminoacylation for protein translation
ncRNA metabolic process
zinc ion binding","['glutamyl-tRNA aminoacylation' 'tRNA metabolic process'
 'tRNA aminoacylation for protein translation' 'ncRNA metabolic process'
 'zinc ion binding']"
EQU24_RS05635,,1220732,1220808,1,,X,No COG annotation,,2123,EQU24_RS05645 // EQU24_RS05640 // EQU24_RS05635,,||,,[]
EQU24_RS05640,,1220826,1220902,1,,X,No COG annotation,,2123,EQU24_RS05645 // EQU24_RS05640 // EQU24_RS05635,,||,,[]
EQU24_RS05645,,1220955,1221031,1,,X,No COG annotation,,2123,EQU24_RS05645 // EQU24_RS05640 // EQU24_RS05635,,||,,[]
EQU24_RS05650,bfr,1221251,1221719,1,bacterioferritin,P,Inorganic ion transport and metabolism,A0A4P9UKV2,1089,bfr,WP_017840426.1,bfr||bfr,"iron ion transport
cellular iron ion homeostasis
ferric iron binding
ferroxidase activity
","['iron ion transport' 'cellular iron ion homeostasis'
 'ferric iron binding' 'ferroxidase activity' '']"
EQU24_RS05655,,1221818,1222151,1,"exosortase system-associated protein, TIGR04073 family",X,No COG annotation,A0A4P9UKM0,2122,EQU24_RS05655,WP_014147631.1,||None,,[]
EQU24_RS05660,,1222276,1222858,-1,TIGR00730 family Rossman fold protein,S,Function unknown,A0A4P9UMM8,2121,EQU24_RS05665 // EQU24_RS05660,WP_017840425.1,||None,"cytokinin biosynthetic process
hydrolase activity",['cytokinin biosynthetic process' 'hydrolase activity']
EQU24_RS05665,,1222870,1223398,-1,hypothetical protein,S,Function unknown,UPI000345A196,2121,EQU24_RS05665 // EQU24_RS05660,WP_017840424.1,||None,,[]
EQU24_RS05670,,1223637,1225065,-1,OFA family MFS transporter,P,Inorganic ion transport and metabolism,A0A4P9UNK3,2120,EQU24_RS05670,WP_017840422.1,||None,"integral component of membrane
transmembrane transporter activity
transmembrane transport","['integral component of membrane' 'transmembrane transporter activity'
 'transmembrane transport']"
EQU24_RS05675,,1225286,1226585,1,transposase,L,"Replication, recombination and repair",UPI00110CA81F,2119,EQU24_RS05675,WP_138767097.1,||None,"DNA binding
transposase activity
transposition, DNA-mediated","['DNA binding' 'transposase activity' 'transposition, DNA-mediated']"
EQU24_RS05680,gor,1227136,1228489,-1,glutathione-disulfide reductase,C,Energy production and conversion,A0A4P9UMW2,2118,gor,WP_017840420.1,gor||gor,"glutathione disulfide oxidoreductase activity
mitochondrion
mitochondrial matrix
FAD binding
NADP binding","['glutathione disulfide oxidoreductase activity' 'mitochondrion'
 'mitochondrial matrix' 'FAD binding' 'NADP binding']"
EQU24_RS05685,,1228532,1229054,-1,peroxiredoxin,O,"Post-translational modification, protein turnover, and chaperones",A0A4P9UKQ9,2117,EQU24_RS05690 // EQU24_RS05685,WP_017840419.1,||None,"cell redox homeostasis
identical protein binding
cellular oxidant detoxification
protein binding
peroxiredoxin activity","['cell redox homeostasis' 'identical protein binding'
 'cellular oxidant detoxification' 'protein binding'
 'peroxiredoxin activity']"
EQU24_RS05690,,1229075,1229360,-1,ferritin,S,Function unknown,A0A4V1IJL2,2117,EQU24_RS05690 // EQU24_RS05685,WP_017840418.1,||None,,[]
EQU24_RS05695,,1229558,1231022,1,DUF3375 domain-containing protein,D,"Cell cycle control, cell division, chromosome partitioning",A0A4P9UQD4,2116,EQU24_RS05695,WP_017840417.1,||None,,[]
EQU24_RS05700,,1231249,1231795,1,DUF4194 domain-containing protein,S,Function unknown,,2115,EQU24_RS05705 // EQU24_RS05700,WP_017840416.1,||None,,[]
EQU24_RS05705,,1231787,1235147,1,AAA family ATPase,S,Function unknown,A0A4P9UL26,2115,EQU24_RS05705 // EQU24_RS05700,WP_017840415.1,||None,,[]
EQU24_RS05710,,1235216,1235999,1,hypothetical protein,H,Coenzyme transport and metabolism,A0A4P9UKV9,2114,EQU24_RS05715 // EQU24_RS05710,WP_040575595.1,||None,membrane,['membrane']
EQU24_RS05715,,1235998,1237180,1,hypothetical protein,S,Function unknown,A0A4P9UKM9,2114,EQU24_RS05715 // EQU24_RS05710,WP_017840413.1,||None,,[]
EQU24_RS05720,,1237807,1239430,1,SulP family inorganic anion transporter,U,"Intracellular trafficking, secretion, and vesicular transport",A0A4P9UMN8,2113,EQU24_RS05720,WP_017840412.1,||None,"sulfate transmembrane transport
bicarbonate transport
bicarbonate transmembrane transporter activity
secondary active sulfate transmembrane transporter activity
organic anion transmembrane transporter activity","['sulfate transmembrane transport' 'bicarbonate transport'
 'bicarbonate transmembrane transporter activity'
 'secondary active sulfate transmembrane transporter activity'
 'organic anion transmembrane transporter activity']"
EQU24_RS05725,,1239471,1239672,-1,hypothetical protein,X,No COG annotation,,2112,EQU24_RS05725,,||,integral component of membrane,['integral component of membrane']
EQU24_RS05730,,1239860,1240496,-1,HTH domain-containing protein,K,Transcription,A0A4P9UKN1,2111,EQU24_RS05730,WP_017840410.1,||None,,[]
EQU24_RS05735,,1240694,1241078,1,group 1 truncated hemoglobin,C,Energy production and conversion,A0A4P9UMX1,2110,EQU24_RS05740 // EQU24_RS05735,WP_017840409.1,||None,"evasion of host immune response
evasion of host immune response
symbiont defense to host-produced nitric oxide
mitigation of host defenses by symbiont
nitric oxide dioxygenase activity","['evasion of host immune response' 'evasion of host immune response'
 'symbiont defense to host-produced nitric oxide'
 'mitigation of host defenses by symbiont'
 'nitric oxide dioxygenase activity']"
EQU24_RS05740,,1241096,1242083,1,2Fe-2S iron-sulfur cluster binding domain-containing protein,C,Energy production and conversion,A0A4P9UKR6,2110,EQU24_RS05740 // EQU24_RS05735,WP_017840408.1,||None,"metal ion binding
2 iron, 2 sulfur cluster binding
electron transport chain
electron transfer activity","['metal ion binding' '2 iron, 2 sulfur cluster binding'
 'electron transport chain' 'electron transfer activity']"
EQU24_RS05745,,1242309,1242648,1,hypothetical protein,X,No COG annotation,A0A4V1IJL3,2109,EQU24_RS05755 // EQU24_RS05750 // EQU24_RS05745,WP_014147647.1,||None,integral component of membrane,['integral component of membrane']
EQU24_RS05750,,1242640,1243237,1,cytochrome c,C,Energy production and conversion,A0A4P9UQE3,2109,EQU24_RS05755 // EQU24_RS05750 // EQU24_RS05745,WP_017840407.1,||None,"heme binding
electron transport chain
metal ion binding
plasma membrane
integral component of membrane","['heme binding' 'electron transport chain' 'metal ion binding'
 'plasma membrane' 'integral component of membrane']"
EQU24_RS05755,,1243239,1244757,1,nitric oxide reductase,P,Inorganic ion transport and metabolism,UPI00034BFAC0,2109,EQU24_RS05755 // EQU24_RS05750 // EQU24_RS05745,WP_017840406.1,||None,"aerobic respiration
proton transmembrane transport
nitric oxide reductase activity
heme binding
oxidoreductase activity, acting on other nitrogenous compounds as donors, cytochrome as acceptor","['aerobic respiration' 'proton transmembrane transport'
 'nitric oxide reductase activity' 'heme binding'
 'oxidoreductase activity, acting on other nitrogenous compounds as donors, cytochrome as acceptor']"
EQU24_RS05760,,1245139,1245328,-1,hypothetical protein,X,No COG annotation,,2108,EQU24_RS05760,,||,,[]
EQU24_RS05765,,1245262,1245853,1,hypothetical protein,S,Function unknown,A0A4P9UKN8,2107,EQU24_RS05765,WP_026130121.1,||None,,[]
EQU24_RS05770,,1246254,1247565,1,DUF4071 domain-containing protein,S,Function unknown,A0A4P9UMP7,2106,EQU24_RS05775 // EQU24_RS05770,WP_017840402.1,||None,protein binding,['protein binding']
EQU24_RS05775,,1247572,1250176,1,patatin family protein,S,Function unknown,UPI00110CCCF2,2106,EQU24_RS05775 // EQU24_RS05770,WP_138767099.1,||None,"lipid catabolic process
integral component of membrane
protein binding
hydrolase activity","['lipid catabolic process' 'integral component of membrane'
 'protein binding' 'hydrolase activity']"
EQU24_RS05780,,1250397,1251375,1,hypothetical protein,X,No COG annotation,A0A4P9UKP0,2105,EQU24_RS05780,WP_017840400.1,||None,integral component of membrane,['integral component of membrane']
EQU24_RS05785,,1251377,1252502,-1,ISAs1 family transposase,L,"Replication, recombination and repair",A0A4P9UJ90,2104,EQU24_RS05785,WP_017840837.1,||None,"DNA binding
transposase activity
transposition, DNA-mediated","['DNA binding' 'transposase activity' 'transposition, DNA-mediated']"
EQU24_RS05790,,1252587,1253289,1,hypothetical protein,X,No COG annotation,UPI00034511B0,2103,EQU24_RS05790,WP_138767100.1,||None,integral component of membrane,['integral component of membrane']
EQU24_RS05795,,1253343,1254327,1,DUF3380 domain-containing protein,M,Cell wall/membrane/envelope biogenesis,UPI00034B3C20,2102,EQU24_RS05795,WP_138767101.1,||None,,[]
EQU24_RS05800,,1255092,1255731,-1,PEP-CTERM sorting domain-containing protein,X,No COG annotation,A0A4P9UQF2,2101,EQU24_RS05805 // EQU24_RS05800,WP_017840396.1,||None,,[]
EQU24_RS05810,,1256251,1256578,1,hypothetical protein,X,No COG annotation,,2100,EQU24_RS05810,,||,"methyltransferase activity
integral component of membrane",['methyltransferase activity' 'integral component of membrane']
